What's your relationship to renting in Bengaluru right now?,"Before you owned a home, did you rent in Bengaluru?",How much did rising rent push you to buy a home?,"Compared to what you once paid, how do today's rents look to you?",Do you think buying a home is still possible for young renters today?,Do you think Bengaluru should put a limit on how much rent can go up?,What would you tell a young renter in Bengaluru today?,How old are you?,What best describes your work right now?,Response Type
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,,Almost impossible now,,"1. compromise between distance to office, and rent.
2. Marry young, DINK is a way to save rent.",55 and above,Mid career,completed
I own the home I live in,"No, I moved into family property",Does not apply — I did not rent before buying,I do not know what rents are like now,No chance at today's prices,Agree,,45 – 54,Self-employed / run my own business,completed
I own the home I live in,"No, I moved into family property",Does not apply — I did not rent before buying,"It is worse now, but I would still manage","Hard, but possible",Disagree,,25 – 34,Mid career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,I do not know what rents are like now,"Hard, but possible",Not sure,"If you plan to be in Bangalore for the next 7 years, the paln to buy.",55 and above,Senior career,completed
I own the home I live in,"Yes, for a short time",Not much — I bought for other reasons,"It is worse now, but I would still manage","Yes, but only with help from family/friends",Disagree,Look at total cost of renting - rent value plus transportation cost to office and back and so on,55 and above,Not working right now,completed
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,About the same as my time,"Yes, if they plan and save",Strongly disagree,,35 – 44,Mid career,completed
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,"Honestly, I would not be able to rent my old life today","Hard, but possible",Strongly agree,"If you are going to rent a place, stay close to your workplace and social circle. Makes the commute bearable.",35 – 44,Mid career,completed
I own the home I live in,"Yes, for a short time",Not much — I bought for other reasons,"Honestly, I would not be able to rent my old life today",Almost impossible now,Disagree,,25 – 34,Early career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"It is worse now, but I would still manage",Almost impossible now,Strongly disagree,Move out of Bangalore. Or start saving like crazy if you plan to buy a home.,35 – 44,Mid career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"It is worse now, but I would still manage","Yes, if they plan and save",Agree,,25 – 34,,completed
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,"It is worse now, but I would still manage","Yes, but only with help from family/friends",Agree,"Buy a house in your means, it should not loot you of all your income",35 – 44,Mid career,completed
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,"Honestly, I would not be able to rent my old life today","Hard, but possible",Agree,,35 – 44,Senior career,completed
I own the home I live in,"Yes, for a short time",Not much — I bought for other reasons,About the same as my time,Almost impossible now,Strongly disagree,Buy now,45 – 54,Senior career,completed
I own the home I live in,"Yes, for many years",,About the same as my time,,Strongly disagree,Choose what makes sense from a life perspective,45 – 54,Self-employed / run my own business,completed
I own the home I live in,,It was one of the reasons,"Honestly, I would not be able to rent my old life today","Hard, but possible",Not sure,"Im 40 and I actually bought my house during the lucky phase of the world ending (in 2021) when no one was buying. 
But, I would tell -  move a little away from the office areas (the second last or last metro stations). Try walking anything under 1km. Helps with the last mile mobility. These all aspects bring down the rent.
If your salary can help, and you are in a decently stable job, get a scooty (EV) for local commute.
Do not expect world class complex at the start of your career, renting in an independent house or a PG helps. Know that the rents keep increasing irrespective of your salary. You keep moving outside the city as the rents keep increasing. You also keep moving (sad but true)
Eventually, when you do buy a house, you should buy in an upcoming area nearish to the metro or new metro coming up. Definitely in a community (prestige, Goyal) purely because of the amenities and the family friendly setup",35 – 44,,completed
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,"Honestly, I would not be able to rent my old life today","Yes, but only with help from family/friends",Strongly disagree,,35 – 44,Self-employed / run my own business,completed
I own the home I live in,"No, I moved into family property",Does not apply — I did not rent before buying,"It is worse now, but I would still manage","Yes, but only with help from family/friends",Strongly disagree,Housing cost has always been the single largest item in the yesteryears.. nothing new now,45 – 54,Senior career,completed
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,"Honestly, I would not be able to rent my old life today",Almost impossible now,Strongly agree,Bangalore transport is good. Find a cheaper place with a good landlord because rents keep going up and you will anyway end up paying more each year.,55 and above,Self-employed / run my own business,completed
I own the home I live in,"Yes, for a short time",It was one of the reasons,"Honestly, I would not be able to rent my old life today","Yes, but only with help from family/friends",Agree,invest in outskirts and rent it out and use that to pay your rent - central isn't possible,35 – 44,Senior career,completed
I own the home I live in,"Yes, for many years",It was the main reason — I was tired of rent going up,About the same as my time,"Yes, if they plan and save",Strongly disagree,"The rental yield is still a few % of the investment. 

If landlords were to calculate the rental yield with even FD rates, we would hv very few homes to rent 

Just because, renters can post on social media, and land lords don’t, does not mean renters are right 

Like ur company, land lords have invested their hard earned money in the property, tenants can just leave and go . As a land lord , we are fighting with a hotel next door for the noise . 

As a land lord I can’t move out while a tenant will in 30 days

So, stop vilifying land lords as villain always 
. 
Buy a house if u want and you will know how hard it is to even pay the EMI and then have to listen to renters complaints 

We bought thinking value of the property will go up, but that is when I sell. Until then it is a 3 % yield per annum 

Any body - renters esp willing to invest a few crores for such a pitiable yield ?",55 and above,,completed
I own the home I live in,"Yes, for a short time",It was the main reason — I was tired of rent going up,,"Yes, if they plan and save",Not sure,,25 – 34,Mid career,completed
I own the home I live in,"Yes, for a short time",It was one of the reasons,"It is worse now, but I would still manage","Yes, if they plan and save",Strongly agree,Better to stay in a PG or shared apartment and after retirement settle down in a peaceful tier 2/3 city or in the countryside.,25 – 34,Mid career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"Honestly, I would not be able to rent my old life today","Hard, but possible",Agree,,45 – 54,Senior career,completed
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,,"Yes, if they plan and save",Strongly disagree,,35 – 44,,completed
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,"Honestly, I would not be able to rent my old life today","Hard, but possible",Disagree,,45 – 54,Senior career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"It is worse now, but I would still manage","Hard, but possible",Disagree,"I know how difficult it must seem with rents going sky high (have been there), but have some patience, the market adjusts for this - the sheer scale of construction of new flats in Bengaluru is a direct response to this. In 2 years, so many new flats will be on the market, that rents will automatically stagnate (like they did before 2020). 

Cities with rent caps have other issues - no incentives for new units construction, and then owners are incentivized to evict tenants every year, so they can escape the rent increase caps and get what they perceive to be the actual market rate.",35 – 44,Not working right now,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"It is worse now, but I would still manage","Hard, but possible",Strongly agree,,25 – 34,Mid career,completed
I own the home I live in,"Yes, for a short time",Not much — I bought for other reasons,"It is worse now, but I would still manage",Almost impossible now,Agree,If you have to buy think about buying a setup which you will need 15 years out. That will be afforadable.,45 – 54,Senior career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,About the same as my time,"Yes, if they plan and save",Strongly agree,"don't always look for posh gated communities to buy, there are plenty of reasonable budgeted reasonable amenities filled flats",25 – 34,Mid career,completed
I own the home I live in,"Yes, for many years",It was the main reason — I was tired of rent going up,"It is worse now, but I would still manage","Hard, but possible",Strongly disagree,,,Senior career,completed
I own the home I live in,"Yes, for many years",It was the main reason — I was tired of rent going up,"Honestly, I would not be able to rent my old life today","Hard, but possible",Agree,,35 – 44,Self-employed / run my own business,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"It is worse now, but I would still manage","Yes, but only with help from family/friends",Strongly agree,,35 – 44,Mid career,completed
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,"It is worse now, but I would still manage",Almost impossible now,Agree,Be clear on your priorities. If you want a place close to the office be ready to pay more and save commuting time. That's better than spending so much time in traffic. High rents are a reality of the city,55 and above,Self-employed / run my own business,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"Honestly, I would not be able to rent my old life today","Yes, but only with help from family/friends",Disagree,"Given property prices, it is safer to rent and gives you the fliexibility. But if you can afford it, buy.",35 – 44,Mid career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"It is worse now, but I would still manage","Hard, but possible",Agree,save aggressively,35 – 44,Mid career,completed
I own the home I live in,"No, I moved into family property",Not much — I bought for other reasons,,"Hard, but possible",Strongly disagree,"Rent along the metro line, preferably on the edges (if work permits). A slightly longer commute outweighs the pain of paying high rents to stay within ""happening"". Stay in Vijaynagar over Indiranagar, or Konanakunte (or even Nagasandra) ver Jayanagar.",25 – 34,Self-employed / run my own business,completed
I own the home I live in,"No, I bought without ever renting here",Does not apply — I did not rent before buying,I do not know what rents are like now,"Hard, but possible",Agree,"Don't splurge on high rent early in your career, live within your means, buy a property when you have the financial means and leverage to do so",55 and above,Not working right now,completed
I own the home I live in,"Yes, for many years",,About the same as my time,"Yes, but only with help from family/friends",Disagree,"Try out lesser known areas in west, or south Bangalore that have metro access.",35 – 44,,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"Honestly, I would not be able to rent my old life today",Almost impossible now,Not sure,Be prepared to commute at least 1 hr each way.,45 – 54,Senior career,completed
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,"It is worse now, but I would still manage",Almost impossible now,,Keep renting it's not worth buying a place right now unless you are doing it for intensely emotional reasons,35 – 44,Mid career,completed
I own the home I live in,"No, I moved into family property",Does not apply — I did not rent before buying,"It is worse now, but I would still manage",No chance at today's prices,Not sure,,25 – 34,Mid career,completed
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,"It is worse now, but I would still manage","Hard, but possible",Disagree,"Figure out your priorities and make a measured decision as rent will be your biggest expense. A rental home is still home and it has to be a place to de-stress. Community quality, office commute time, access to facilities are all important factors to consider and more important than the area name.",45 – 54,Senior career,completed
I own the home I live in,"Yes, for a short time",Not much — I bought for other reasons,"Honestly, I would not be able to rent my old life today","Hard, but possible",Strongly agree,,55 and above,Senior career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"It is worse now, but I would still manage","Hard, but possible",Agree,Start saving early and negotiate hard (survey flow test),45 – 54,Senior career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"It is worse now, but I would still manage","Yes, but only with help from family/friends",Agree,'-,45 – 54,Senior career,completed
I own the home I live in,"No, I moved into family property",Does not apply — I did not rent before buying,I do not know what rents are like now,"Hard, but possible",Agree,,Under 25,Early career,completed
